date,slug,date,name,age,team,away,opponent,game_result,minutes_played,field_goals,field_goals_att,field_goal_perc,three_point_made,three_point_att,three_point_perc,free_throws_made,free_throws_att,free_throw_perc,offensive_rebound,defensive_rebound,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,game_score,plus_minus,date_string,combined,team_field_goals,team_free_throws_att,team_turnovers,team_minutes_played,true_shooting_att,true_shooting_%,usage_rate,fantasy_points
2020-02-05,adamsst01,2020-02-05,Steven Adams,26,OKC,0,CLE,6.0,29.43,2.0,5.0,0.4,0.0,0.0,,2.0,3.0,0.667,1.0,7.0,8.0,3.0,0.0,0.0,1.0,2.0,6.0,6.0,2.0,2020-02-05,2020-02-05OKC,49.0,23.0,7.0,165.55,6.32,0.47468354430379744,12.45509816581596,20.0
2020-02-07,adamsst01,2020-02-07,Steven Adams,26,OKC,0,DET,7.0,28.48,7.0,10.0,0.7,0.0,0.0,,2.0,2.0,1.0,2.0,6.0,8.0,3.0,0.0,1.0,3.0,3.0,16.0,13.6,-9.0,2020-02-07,2020-02-07OKC,58.0,21.0,10.0,161.35,10.88,0.7352941176470588,20.36133181852565,31.0
2020-02-09,adamsst01,2020-02-09,Steven Adams,26,OKC,0,BOS,-1.0,30.02,2.0,10.0,0.2,0.0,1.0,0.0,0.0,0.0,,5.0,6.0,11.0,2.0,0.0,1.0,2.0,3.0,4.0,2.0,8.0,2020-02-09,2020-02-09OKC,66.0,20.0,8.0,178.09,10.0,0.2,17.195299751856254,21.75
2020-02-11,adamsst01,2020-02-11,Steven Adams,26,OKC,0,SAS,-8.0,32.25,4.0,9.0,0.444,0.0,0.0,,2.0,2.0,1.0,3.0,7.0,10.0,2.0,4.0,1.0,4.0,5.0,10.0,9.6,1.0,2020-02-11,2020-02-11OKC,67.0,17.0,12.0,176.32999999999998,9.88,0.5060728744939271,17.55093546744688,33.5
2020-02-13,adamsst01,2020-02-13,Steven Adams,26,OKC,1,NOP,5.0,27.51,5.0,10.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,3.0,8.0,11.0,2.0,1.0,3.0,1.0,4.0,11.0,12.0,9.0,2020-02-13,2020-02-13OKC,73.0,16.0,7.0,177.64,10.44,0.5268199233716475,16.974121709752602,35.75
2020-02-21,adamsst01,2020-02-21,Steven Adams,26,OKC,0,DEN,12.0,32.14,7.0,14.0,0.5,0.0,0.0,,5.0,6.0,0.833,7.0,10.0,17.0,2.0,4.0,2.0,0.0,0.0,19.0,26.3,9.0,2020-02-21,2020-02-21OKC,64.0,21.0,11.0,177.90000000000003,16.64,0.5709134615384616,21.867293553665682,55.25
2020-02-23,adamsst01,2020-02-23,Steven Adams,26,OKC,0,SAS,28.0,27.27,8.0,12.0,0.667,0.0,0.0,,5.0,6.0,0.833,3.0,11.0,14.0,0.0,1.0,0.0,1.0,0.0,21.0,20.8,7.0,2020-02-23,2020-02-23OKC,60.0,16.0,7.0,160.39,14.64,0.7172131147540983,24.848059810483115,40.0
2020-02-25,adamsst01,2020-02-25,Steven Adams,26,OKC,1,CHI,2.0,28.26,6.0,8.0,0.75,0.0,0.0,,4.0,6.0,0.667,5.0,4.0,9.0,2.0,3.0,3.0,1.0,1.0,16.0,21.8,11.0,2020-02-25,2020-02-25OKC,63.0,23.0,8.0,180.21,10.64,0.7518796992481203,18.300449754393895,41.75
2020-02-27,adamsst01,2020-02-27,Steven Adams,26,OKC,0,SAC,4.0,27.43,7.0,9.0,0.778,0.0,0.0,,1.0,2.0,0.5,6.0,1.0,7.0,1.0,0.0,0.0,1.0,2.0,15.0,14.5,-10.0,2020-02-27,2020-02-27OKC,62.0,22.0,7.0,166.06,9.88,0.7591093117408906,16.743018833724,24.75
2020-02-28,adamsst01,2020-02-28,Steven Adams,26,OKC,1,MIL,-47.0,16.58,4.0,5.0,0.8,0.0,0.0,,0.0,0.0,,1.0,6.0,7.0,3.0,1.0,0.0,1.0,1.0,8.0,10.3,-5.0,2020-02-28,2020-02-28OKC,52.0,19.0,5.0,135.41,5.0,0.8,14.994618281895727,22.75
2020-01-02,adebaba01,2020-01-02,Bam Adebayo,22,MIA,0,TOR,8.0,35.27,7.0,8.0,0.875,0.0,0.0,,1.0,2.0,0.5,2.0,12.0,14.0,2.0,0.0,1.0,4.0,4.0,15.0,13.3,9.0,2020-01-02,2020-01-02MIA,51.0,10.0,10.0,143.60999999999999,8.88,0.8445945945945945,16.03789378399398,35.5
2020-01-03,adebaba01,2020-01-03,Bam Adebayo,22,MIA,1,ORL,-20.0,34.47,5.0,8.0,0.625,0.0,0.0,,4.0,5.0,0.8,5.0,5.0,10.0,1.0,1.0,2.0,2.0,1.0,14.0,15.7,-5.0,2020-01-03,2020-01-03MIA,50.0,22.0,13.0,159.04999999999998,10.2,0.6862745098039216,15.49056640224907,33.0
2020-01-05,adebaba01,2020-01-05,Bam Adebayo,22,MIA,0,POR,11.0,35.33,9.0,10.0,0.9,0.0,0.0,,2.0,6.0,0.33299999999999996,4.0,4.0,8.0,6.0,1.0,1.0,3.0,3.0,20.0,20.7,9.0,2020-01-05,2020-01-05MIA,57.0,12.0,8.0,145.79,12.64,0.7911392405063291,18.366190730185078,41.5
2020-01-08,adebaba01,2020-01-08,Bam Adebayo,22,MIA,1,IND,14.0,28.47,8.0,11.0,0.727,0.0,0.0,,2.0,3.0,0.667,0.0,9.0,9.0,4.0,0.0,1.0,0.0,1.0,18.0,18.9,31.0,2020-01-08,2020-01-08MIA,44.0,18.0,7.0,157.92000000000002,12.32,0.7305194805194805,23.196776254277026,37.25
2020-01-10,adebaba01,2020-01-10,Bam Adebayo,22,MIA,1,BRK,-4.0,32.55,10.0,13.0,0.769,0.0,0.0,,2.0,2.0,1.0,2.0,4.0,6.0,7.0,2.0,1.0,1.0,2.0,22.0,25.3,-16.0,2020-01-10,2020-01-10MIA,59.0,21.0,6.0,159.23,13.88,0.7925072046109509,19.60960591133005,45.5
2020-01-12,adebaba01,2020-01-12,Bam Adebayo,22,MIA,1,NYK,-3.0,37.15,5.0,7.0,0.7140000000000001,0.0,0.0,,5.0,6.0,0.833,2.0,4.0,6.0,5.0,0.0,0.0,5.0,4.0,15.0,11.2,-2.0,2020-01-12,2020-01-12MIA,41.0,24.0,13.0,157.48999999999998,9.64,0.7780082987551866,19.226565666168003,27.5
2020-01-15,adebaba01,2020-01-15,Bam Adebayo,22,MIA,0,SAS,6.0,35.57,6.0,15.0,0.4,0.0,0.0,,2.0,4.0,0.5,4.0,9.0,13.0,7.0,0.0,2.0,0.0,0.0,14.0,16.9,0.0,2020-01-15,2020-01-15MIA,60.0,11.0,7.0,167.32999999999998,16.76,0.4176610978520286,21.94965164833857,44.75
2020-01-17,adebaba01,2020-01-17,Bam Adebayo,22,MIA,1,OKC,7.0,32.07,7.0,11.0,0.636,0.0,0.0,,7.0,10.0,0.7,1.0,7.0,8.0,5.0,0.0,1.0,3.0,2.0,21.0,18.1,-1.0,2020-01-17,2020-01-17MIA,55.0,23.0,10.0,172.09,15.4,0.6818181818181818,26.28747750610767,39.0
2020-01-19,adebaba01,2020-01-19,Bam Adebayo,22,MIA,1,SAS,-5.0,36.1,8.0,13.0,0.615,0.0,1.0,0.0,5.0,5.0,1.0,4.0,12.0,16.0,6.0,2.0,0.0,2.0,0.0,21.0,25.7,12.0,2020-01-19,2020-01-19MIA,59.0,20.0,6.0,158.26,15.2,0.6907894736842105,20.43459526008002,53.0
2020-01-20,adebaba01,2020-01-20,Bam Adebayo,22,MIA,0,SAC,5.0,39.4,6.0,9.0,0.667,0.0,0.0,,4.0,6.0,0.667,4.0,7.0,11.0,5.0,1.0,1.0,5.0,4.0,16.0,14.8,13.0,2020-01-20,2020-01-20MIA,49.0,14.0,11.0,165.71,11.64,0.6872852233676976,21.15632921881426,38.75
2020-01-22,adebaba01,2020-01-22,Bam Adebayo,22,MIA,0,WAS,5.0,34.25,3.0,8.0,0.375,0.0,0.0,,0.0,1.0,0.0,1.0,7.0,8.0,2.0,0.0,1.0,4.0,2.0,6.0,1.3,-4.0,2020-01-22,2020-01-22MIA,54.0,30.0,13.0,188.54999999999998,8.44,0.35545023696682465,17.078195023390425,19.0
2020-01-24,adebaba01,2020-01-24,Bam Adebayo,22,MIA,0,LAC,-5.0,38.12,6.0,10.0,0.6,0.0,0.0,,6.0,7.0,0.857,3.0,5.0,8.0,9.0,0.0,1.0,4.0,1.0,18.0,19.2,14.0,2020-01-24,2020-01-24MIA,66.0,24.0,8.0,163.68,13.08,0.6880733944954128,17.34585102464855,41.5
2020-01-27,adebaba01,2020-01-27,Bam Adebayo,22,MIA,0,ORL,21.0,32.17,10.0,16.0,0.625,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,10.0,10.0,1.0,0.0,1.0,0.0,20.0,22.8,16.0,2020-01-27,2020-01-27MIA,56.0,12.0,5.0,172.89000000000001,16.0,0.625,27.56863291704882,49.0
2020-01-28,adebaba01,2020-01-28,Bam Adebayo,22,MIA,0,BOS,-8.0,33.01,7.0,11.0,0.636,0.0,0.0,,2.0,2.0,1.0,2.0,8.0,10.0,1.0,1.0,1.0,2.0,5.0,16.0,13.3,-4.0,2020-01-28,2020-01-28MIA,62.0,29.0,9.0,161.96,11.88,0.6734006734006733,16.260917142702553,33.0
2020-02-01,adebaba01,2020-02-01,Bam Adebayo,22,MIA,1,ORL,13.0,38.1,1.0,8.0,0.125,0.0,0.0,,2.0,4.0,0.5,3.0,11.0,14.0,5.0,3.0,4.0,2.0,1.0,4.0,10.3,14.0,2020-02-01,2020-02-01MIA,53.0,21.0,11.0,174.49,9.76,0.20491803278688525,14.707354098487551,42.0
2020-02-03,adebaba01,2020-02-03,Bam Adebayo,22,MIA,0,PHI,31.0,35.23,8.0,15.0,0.5329999999999999,0.0,0.0,,2.0,2.0,1.0,3.0,5.0,8.0,11.0,1.0,0.0,0.0,2.0,18.0,22.2,29.0,2020-02-03,2020-02-03MIA,63.0,21.0,2.0,165.53,15.88,0.5667506297229219,20.100488048978637,46.5
2020-02-05,adebaba01,2020-02-05,Bam Adebayo,22,MIA,1,LAC,-17.0,39.35,9.0,15.0,0.6,0.0,0.0,,4.0,7.0,0.5710000000000001,4.0,7.0,11.0,6.0,2.0,0.0,2.0,0.0,22.0,23.0,-15.0,2020-02-05,2020-02-05MIA,54.0,19.0,6.0,149.43,18.08,0.6084070796460177,22.30923662232162,47.75
2020-02-07,adebaba01,2020-02-07,Bam Adebayo,22,MIA,1,SAC,-8.0,36.23,12.0,16.0,0.75,0.0,0.0,,2.0,3.0,0.667,1.0,6.0,7.0,3.0,0.0,2.0,5.0,3.0,26.0,19.0,-5.0,2020-02-07,2020-02-07MIA,36.0,19.0,13.0,112.24999999999999,17.32,0.7505773672055427,24.111990225165343,40.75
2020-02-09,adebaba01,2020-02-09,Bam Adebayo,22,MIA,1,POR,-6.0,35.07,6.0,14.0,0.429,0.0,0.0,,1.0,2.0,0.5,5.0,7.0,12.0,7.0,0.0,3.0,3.0,4.0,13.0,13.2,-8.0,2020-02-09,2020-02-09MIA,59.0,13.0,10.0,160.77,14.88,0.4368279569892473,21.93965998867973,43.0
2020-02-10,adebaba01,2020-02-10,Bam Adebayo,22,MIA,1,GSW,12.0,26.48,5.0,8.0,0.625,0.0,0.0,,3.0,6.0,0.5,3.0,8.0,11.0,7.0,2.0,0.0,1.0,2.0,13.0,17.8,-16.0,2020-02-10,2020-02-10MIA,60.0,21.0,10.0,176.55,10.64,0.6109022556390977,19.587916780410882,40.75
2020-02-12,adebaba01,2020-02-12,Bam Adebayo,22,MIA,1,UTA,-15.0,33.23,4.0,10.0,0.4,0.0,0.0,,1.0,2.0,0.5,2.0,9.0,11.0,5.0,4.0,2.0,1.0,1.0,9.0,14.8,-23.0,2020-02-12,2020-02-12MIA,59.0,15.0,10.0,182.34,10.88,0.41360294117647056,17.245518249430383,41.75
2020-02-20,adebaba01,2020-02-20,Bam Adebayo,22,MIA,1,ATL,-5.0,36.1,9.0,20.0,0.45,0.0,1.0,0.0,10.0,12.0,0.833,5.0,14.0,19.0,7.0,3.0,1.0,4.0,3.0,28.0,27.9,14.0,2020-02-20,2020-02-20MIA,78.0,35.0,13.0,181.85999999999999,25.28,0.5537974683544303,27.726140836856683,68.25
2020-02-22,adebaba01,2020-02-22,Bam Adebayo,22,MIA,0,CLE,19.0,25.34,7.0,9.0,0.778,0.0,0.0,,1.0,3.0,0.33299999999999996,1.0,2.0,3.0,9.0,1.0,1.0,5.0,3.0,15.0,13.8,20.0,2020-02-22,2020-02-22MIA,54.0,12.0,11.0,166.18,10.32,0.7267441860465116,28.590987274265217,33.75
2020-02-24,adebaba01,2020-02-24,Bam Adebayo,22,MIA,1,CLE,-6.0,40.59,9.0,15.0,0.6,0.0,0.0,,4.0,5.0,0.8,1.0,12.0,13.0,9.0,3.0,4.0,6.0,5.0,22.0,23.1,7.0,2020-02-24,2020-02-24MIA,61.0,17.0,11.0,180.18,17.2,0.6395348837209303,25.914787582702196,62.75
2020-02-26,adebaba01,2020-02-26,Bam Adebayo,22,MIA,0,MIN,-3.0,33.12,6.0,13.0,0.462,0.0,1.0,0.0,10.0,15.0,0.667,1.0,9.0,10.0,7.0,0.0,2.0,4.0,5.0,22.0,17.0,4.0,2020-02-26,2020-02-26MIA,53.0,37.0,17.0,181.04000000000002,19.6,0.5612244897959183,29.90309048844455,47.0
2020-02-28,adebaba01,2020-02-28,Bam Adebayo,22,MIA,0,DAL,8.0,29.15,3.0,10.0,0.3,0.0,0.0,,8.0,10.0,0.8,2.0,9.0,11.0,3.0,0.0,1.0,1.0,2.0,14.0,12.5,-12.0,2020-02-28,2020-02-28MIA,58.0,34.0,7.0,181.47,14.4,0.4861111111111111,23.979725711912554,33.75
2020-02-29,adebaba01,2020-02-29,Bam Adebayo,22,MIA,0,BRK,3.0,32.15,7.0,12.0,0.583,0.0,0.0,,2.0,2.0,1.0,2.0,10.0,12.0,3.0,0.0,3.0,1.0,1.0,16.0,17.6,2.0,2020-02-29,2020-02-29MIA,70.0,22.0,6.0,175.11,12.88,0.6211180124223602,17.646962984260583,41.0
2020-01-02,aldrila01,2020-01-02,LaMarcus Aldridge,34,SAS,0,OKC,-6.0,32.43,7.0,13.0,0.5379999999999999,4.0,4.0,1.0,4.0,4.0,1.0,4.0,8.0,12.0,0.0,0.0,3.0,1.0,2.0,22.0,21.2,-6.0,2020-01-02,2020-01-02SAS,82.0,10.0,8.0,217.68,14.76,0.7452574525745258,22.41226736073002,44.5
2020-01-04,aldrila01,2020-01-04,LaMarcus Aldridge,34,SAS,1,MIL,-9.0,32.45,5.0,14.0,0.35700000000000004,4.0,7.0,0.5710000000000001,2.0,2.0,1.0,2.0,8.0,10.0,2.0,0.0,0.0,0.0,5.0,16.0,11.4,-3.0,2020-01-04,2020-01-04SAS,77.0,30.0,6.0,203.79999999999998,14.88,0.5376344086021505,19.428860649199628,33.5
2020-01-06,aldrila01,2020-01-06,LaMarcus Aldridge,34,SAS,0,MIL,22.0,32.3,5.0,10.0,0.5,2.0,3.0,0.667,5.0,5.0,1.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,4.0,17.0,14.8,12.0,2020-01-06,2020-01-06SAS,81.0,17.0,10.0,216.12,12.2,0.6967213114754098,16.578079690553377,29.5
2020-01-08,aldrila01,2020-01-08,LaMarcus Aldridge,34,SAS,1,BOS,15.0,31.43,5.0,11.0,0.455,1.0,5.0,0.2,2.0,3.0,0.667,0.0,6.0,6.0,4.0,0.0,2.0,1.0,2.0,13.0,11.1,11.0,2020-01-08,2020-01-08SAS,75.0,24.0,13.0,216.30999999999997,12.32,0.5275974025974026,18.602261364152866,30.5
2020-01-10,aldrila01,2020-01-10,LaMarcus Aldridge,34,SAS,1,MEM,-13.0,34.26,7.0,12.0,0.583,5.0,9.0,0.556,2.0,2.0,1.0,1.0,8.0,9.0,3.0,0.0,1.0,3.0,3.0,21.0,17.1,-7.0,2020-01-10,2020-01-10SAS,82.0,21.0,10.0,221.28999999999996,12.88,0.8152173913043478,20.262955349002205,39.75
2020-01-12,aldrila01,2020-01-12,LaMarcus Aldridge,34,SAS,1,TOR,1.0,33.46,4.0,10.0,0.4,2.0,6.0,0.33299999999999996,1.0,3.0,0.33299999999999996,0.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,11.0,8.8,-14.0,2020-01-12,2020-01-12SAS,83.0,30.0,10.0,227.26999999999998,11.32,0.48586572438162545,15.759134497947345,24.5
2020-01-15,aldrila01,2020-01-15,LaMarcus Aldridge,34,SAS,1,MIA,-6.0,33.43,5.0,12.0,0.41700000000000004,2.0,6.0,0.33299999999999996,0.0,0.0,,1.0,4.0,5.0,1.0,0.0,0.0,1.0,4.0,12.0,5.6,3.0,2020-01-15,2020-01-15SAS,85.0,15.0,8.0,229.89,12.0,0.5,17.951374748170064,20.25
2020-01-17,aldrila01,2020-01-17,LaMarcus Aldridge,34,SAS,0,ATL,-1.0,27.49,11.0,20.0,0.55,1.0,3.0,0.33299999999999996,7.0,7.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,2.0,6.0,30.0,19.3,-8.0,2020-01-17,2020-01-17SAS,91.0,23.0,15.0,221.64,23.08,0.6499133448873484,34.82762842267385,37.75
2020-01-19,aldrila01,2020-01-19,LaMarcus Aldridge,34,SAS,0,MIA,5.0,35.51,8.0,15.0,0.5329999999999999,2.0,4.0,0.5,3.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,21.0,18.2,-6.0,2020-01-19,2020-01-19SAS,77.0,22.0,11.0,218.53,16.32,0.6433823529411764,23.083954387812458,36.5
2020-01-20,aldrila01,2020-01-20,LaMarcus Aldridge,34,SAS,1,PHO,2.0,32.03,6.0,14.0,0.429,1.0,4.0,0.25,6.0,8.0,0.75,0.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,19.0,15.0,8.0,2020-01-20,2020-01-20SAS,84.0,22.0,8.0,220.67000000000002,17.52,0.5422374429223744,25.09699919897087,35.75
2020-01-22,aldrila01,2020-01-22,LaMarcus Aldridge,34,SAS,1,NOP,4.0,34.57,12.0,20.0,0.6,1.0,4.0,0.25,7.0,8.0,0.875,6.0,8.0,14.0,2.0,1.0,2.0,3.0,5.0,32.0,27.8,1.0,2020-01-22,2020-01-22SAS,85.0,23.0,11.0,224.71999999999997,23.52,0.6802721088435374,32.4899184106803,57.5
