,name,mape,actual
132,Zach LaVine,86.62318339100347,48.166666666666664
133,Jeremy Lamb,65.32820512820513,23.4
134,Caris LeVert,65.92699784017279,38.583333333333336
135,Damion Lee,65.51636363636364,32.083333333333336
136,Kawhi Leonard,83.90809628008753,45.7
137,Meyers Leonard,28.620074349442376,16.8125
138,Damian Lillard,64.28601252609603,47.9
139,Brook Lopez,62.05521669341894,25.958333333333332
140,Robin Lopez,50.557812500000004,12.8
141,Kevin Love,57.73312788906009,32.45
142,Kyle Lowry,78.21924686192469,39.833333333333336
143,Timothé Luwawu-Cabarrot,63.02379421221864,12.958333333333334
144,Trey Lyles,47.16344827586207,24.166666666666668
145,Ian Mahinmi,45.13404255319148,15.666666666666666
146,Thon Maker,55.66844444444444,18.75
147,Boban Marjanović,-307.3333333333334,2.25
148,Wesley Matthews,60.01305361305362,17.875
149,Patrick McCaw,34.18378378378378,11.1
150,CJ McCollum,42.34885844748858,54.75
151,T.J. McConnell,-8.899539170506898,9.041666666666666
152,Doug McDermott,15.798561151079156,11.583333333333334
153,JaVale McGee,56.771349862258944,15.125
154,Rodney McGruder,-264.98723404255327,2.35
155,Alfonzo McKinnie,28.83783783783784,9.25
156,Ben McLemore,51.24247787610619,14.125
157,Jordan McRae,-150.30088495575225,7.0625
158,Khris Middleton,91.77678780773739,42.65
159,Patty Mills,79.60508905852417,16.375
160,Donovan Mitchell,74.17435897435898,42.25
161,Malik Monk,63.81041666666667,28.8
162,E'Twaun Moore,43.69612403100774,10.75
163,Marcus Morris,43.04060913705583,19.7
164,Markieff Morris,37.704977375565605,13.8125
165,Monte Morris,63.717472118959115,22.416666666666668
166,Emmanuel Mudiay,13.94925373134329,16.75
167,Dejounte Murray,56.49608091024021,32.958333333333336
168,Jamal Murray,84.71185031185031,30.0625
169,Mike Muscala,33.93582887700535,11.6875
170,Abdel Nader,50.096551724137925,16.3125
171,Larry Nance,59.79669421487603,24.2
172,Shabazz Napier,71.22638146167557,23.375
173,Raul Neto,-45.99466666666666,4.6875
174,Georges Niang,36.999148936170215,9.791666666666666
175,Nerlens Noel,36.055849056603776,16.5625
176,Frank Ntilikina,45.606514657980455,15.35
177,Royce O'Neale,69.04332129963899,23.083333333333332
178,Semi Ojeleye,-11.346341463414646,3.4166666666666665
179,Kelly Olynyk,62.34883720930232,25.8
180,Cedi Osman,42.36935817805384,20.125
181,Kelly Oubre,32.45113402061857,24.25
182,Patrick Patterson,16.184615384615384,4.0625
183,Chris Paul,85.37475301866081,37.958333333333336
184,Elfrid Payton,60.960123647604334,32.35
185,Gary Payton,-380.2818181818181,2.2
186,Jakob Pöltl,34.765714285714296,13.125
187,Bobby Portis,67.7831223628692,19.75
188,Kristaps Porziņģis,75.41125748502995,52.1875
189,Taurean Waller-Prince,51.696666666666665,20.0
190,Julius Randle,85.95348837209302,37.625
191,J.J. Redick,23.773333333333326,16.5
192,Josh Richardson,46.04938271604938,25.3125
193,Austin Rivers,51.20103626943005,19.3
194,Glenn Robinson,-44.414953271028054,10.7
195,Rajon Rondo,20.32244897959184,14.7
196,Derrick Rose,50.94887218045113,26.6
197,Terrence Ross,65.96284987277355,32.75
198,Terry Rozier,71.44632352941176,27.2
199,Ricky Rubio,52.09576354679803,42.291666666666664
200,D'Angelo Russell,87.59726027397261,45.625
201,Domantas Sabonis,89.03833017077798,43.916666666666664
202,Dario Šarić,55.60112676056338,17.75
203,Tomáš Satoranský,59.25756676557864,28.083333333333332
204,Dennis Schröder,70.88772504091654,25.458333333333332
205,Mike Scott,-28.032786885245883,9.15
206,Thabo Sefolosha,29.094399999999993,7.8125
207,Pascal Siakam,76.50093457943925,42.8
208,Ben Simmons,76.40047505938242,42.1
209,Marcus Smart,64.17987421383648,39.75
210,Ish Smith,66.64478764478764,21.583333333333332
211,Tony Snell,59.430679611650476,21.458333333333332
212,Caleb Swanigan,68.69485714285715,10.9375
213,Jayson Tatum,77.05482156416097,54.875
214,Jeff Teague,43.61652892561983,15.125
215,Garrett Temple,51.861511423550084,28.45
216,Daniel Theis,65.15887850467288,31.208333333333332
217,Isaiah Thomas,66.69378531073447,22.125
218,Tristan Thompson,66.75091210613598,30.15
219,Anthony Tolliver,-136.62950819672136,3.8125
220,P.J. Tucker,76.27717171717171,20.625
221,Myles Turner,78.51467391304348,30.666666666666668
222,Jonas Valančiūnas,60.54621409921671,31.916666666666668
223,Fred VanVleet,58.27605633802817,26.625
224,Nikola Vučević,76.31812865497076,42.75
225,Kemba Walker,64.27255985267035,33.9375
226,T.J. Warren,63.81147286821705,32.25
227,Russell Westbrook,86.60508083140878,54.125
228,Derrick White,70.02312925170068,24.5
229,Hassan Whiteside,87.9690036900369,45.166666666666664
230,Andrew Wiggins,68.97722095671982,36.583333333333336
231,Lou Williams,64.3252152521525,33.875
232,Marvin Williams,71.90042918454935,14.5625
233,Christian Wood,68.3887323943662,38.035714285714285
234,Delon Wright,69.36798493408662,18.964285714285715
235,Thaddeus Young,57.130544993662866,32.875
236,Cody Zeller,80.7490605427975,23.95
237,Ivica Zubac,62.01163310961969,18.625
